Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost_Estimate,US East (N. Virginia),Transfer of Data,AWS Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month) 
, DT Outbound: Not selected (0 TB per month) 
, DT Intra-Region: (0 TB per month) 
, Data transfer cost (0)"
Increased_Cost_Estimate,US East (N. Virginia),Storage,S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
Increased_Cost_Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,481.8,5781.60,USD,"Number of EC2 instances (12), Number of EIPs per instance (12)"
Increased_Cost_Estimate,US East (N. Virginia),Load Balancer,Elastic Load Balancing,0,441.65000000000003,5299.80,USD,Number of Application Load Balancers (2)
Increased_Cost_Estimate,US East (N. Virginia),VPC,Amazon Virtual Private Cloud (VPC),0,65.88,790.56,USD,Number of NAT Gateways (2)
Increased_Cost_Estimate,US East (N. Virginia),DNS Service,Amazon Route 53,0,464.75,5577.00,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (5)"
Increased_Cost_Estimate,US East (N. Virginia),SQL DB,Amazon RDS for MySQL,0,10287.18,123446.16,USD,"Quantity (2), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (db.m5.16xlarge), Additional backup storage (100 GB)"
Increased_Cost_Estimate,US East (N. Virginia),EC2 Compute,Amazon EC2,0,6403.52,76842.24,USD,"Operating system (Linux), Quantity (32), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (100 GB), Instance type (a1.4xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
